step,value,metric,run
32768,1.0,per_learner/5/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/6/correct,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/6/correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.0,per_learner/6/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
32768,0.0,per_learner/6/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
25000,0.9991463422775269,per_learner/6/p_correct,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9993281960487366,per_learner/6/p_correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.9992133975028992,per_learner/6/reward,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9991679191589355,per_learner/6/reward,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/6/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/6/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/7/correct,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/7/correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.0,per_learner/7/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
32768,0.0,per_learner/7/mastered_count,runs\ab_balanced_items200_h1000\PPO_1
25000,0.999070405960083,per_learner/7/p_correct,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9992802739143372,per_learner/7/p_correct,runs\ab_balanced_items200_h1000\PPO_1
25000,0.9992324113845825,per_learner/7/reward,runs\ab_balanced_items200_h1000\PPO_1
32768,0.9991799592971802,per_learner/7/reward,runs\ab_balanced_items200_h1000\PPO_1
25000,1.0,per_learner/7/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
32768,1.0,per_learner/7/rolling_acc,runs\ab_balanced_items200_h1000\PPO_1
32768,1000.0,rollout/ep_len_mean,runs\ab_balanced_items200_h1000\PPO_1
32768,48.01292037963867,rollout/ep_rew_mean,runs\ab_balanced_items200_h1000\PPO_1
32768,663.0,time/fps,runs\ab_balanced_items200_h1000\PPO_1
25000,1000.0,eval/mean_ep_length,runs\ab_balanced_items200_h1000\PPO_2
50000,1000.0,eval/mean_ep_length,runs\ab_balanced_items200_h1000\PPO_2
75000,1000.0,eval/mean_ep_length,runs\ab_balanced_items200_h1000\PPO_2
25000,1101.1107177734375,eval/mean_reward,runs\ab_balanced_items200_h1000\PPO_2
32768,1101.1107177734375,eval/mean_reward,runs\ab_balanced_items200_h1000\PPO_2
50000,1100.051025390625,eval/mean_reward,runs\ab_balanced_items200_h1000\PPO_2
65536,1100.051025390625,eval/mean_reward,runs\ab_balanced_items200_h1000\PPO_2
75000,1099.560791015625,eval/mean_reward,runs\ab_balanced_items200_h1000\PPO_2
98304,1099.560791015625,eval/mean_reward,runs\ab_balanced_items200_h1000\PPO_2
25000,0.0,global/total_mastered,runs\ab_balanced_items200_h1000\PPO_2
32768,0.0,global/total_mastered,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,global/total_mastered,runs\ab_balanced_items200_h1000\PPO_2
65536,0.0,global/total_mastered,runs\ab_balanced_items200_h1000\PPO_2
75000,3.0,global/total_mastered,runs\ab_balanced_items200_h1000\PPO_2
98304,3.0,global/total_mastered,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/0/correct,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/0/correct,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/0/correct,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/0/correct,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/0/correct,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/0/correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.0,per_learner/0/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
32768,0.0,per_learner/0/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/0/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
65536,0.0,per_learner/0/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
75000,0.0,per_learner/0/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/0/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9995041489601135,per_learner/0/p_correct,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9996160864830017,per_learner/0/p_correct,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9990044832229614,per_learner/0/p_correct,runs\ab_balanced_items200_h1000\PPO_2
65536,0.999232292175293,per_learner/0/p_correct,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9985051155090332,per_learner/0/p_correct,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9988526701927185,per_learner/0/p_correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9991239905357361,per_learner/0/reward,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9990959763526917,per_learner/0/reward,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9992488622665405,per_learner/0/reward,runs\ab_balanced_items200_h1000\PPO_2
65536,0.99919193983078,per_learner/0/reward,runs\ab_balanced_items200_h1000\PPO_2
75000,0.999373733997345,per_learner/0/reward,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9992868304252625,per_learner/0/reward,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/0/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/0/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/0/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/0/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/0/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/0/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/1/correct,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/1/correct,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/1/correct,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/1/correct,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/1/correct,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/1/correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.0,per_learner/1/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
32768,0.0,per_learner/1/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
50000,0.0,per_learner/1/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
65536,0.0,per_learner/1/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
75000,0.0,per_learner/1/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
98304,0.0,per_learner/1/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9994466304779053,per_learner/1/p_correct,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9995681047439575,per_learner/1/p_correct,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9996783137321472,per_learner/1/p_correct,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9991363883018494,per_learner/1/p_correct,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9983229041099548,per_learner/1/p_correct,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9999662637710571,per_learner/1/p_correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.999138355255127,per_learner/1/reward,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9991079568862915,per_learner/1/reward,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9990804195404053,per_learner/1/reward,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9992159008979797,per_learner/1/reward,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9994192719459534,per_learner/1/reward,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9990084171295166,per_learner/1/reward,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/1/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/1/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/1/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/1/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/1/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/1/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/2/correct,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/2/correct,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/2/correct,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/2/correct,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/2/correct,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/2/correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.0,per_learner/2/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
32768,0.0,per_learner/2/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
50000,0.0,per_learner/2/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
65536,0.0,per_learner/2/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
75000,0.0,per_learner/2/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
98304,0.0,per_learner/2/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
25000,0.999390184879303,per_learner/2/p_correct,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9995251297950745,per_learner/2/p_correct,runs\ab_balanced_items200_h1000\PPO_2
50000,0.998765766620636,per_learner/2/p_correct,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9990404844284058,per_learner/2/p_correct,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9981317520141602,per_learner/2/p_correct,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9985710382461548,per_learner/2/p_correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9991524815559387,per_learner/2/reward,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9991187453269958,per_learner/2/reward,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9993085861206055,per_learner/2/reward,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9992398619651794,per_learner/2/reward,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9994670748710632,per_learner/2/reward,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9993572235107422,per_learner/2/reward,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/2/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/2/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/2/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/2/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/2/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/2/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/3/correct,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/3/correct,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/3/correct,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/3/correct,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/3/correct,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/3/correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.0,per_learner/3/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
32768,0.0,per_learner/3/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
50000,0.0,per_learner/3/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
65536,0.0,per_learner/3/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
75000,0.0,per_learner/3/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/3/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9993237257003784,per_learner/3/p_correct,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9994721412658691,per_learner/3/p_correct,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9986314177513123,per_learner/3/p_correct,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9989445805549622,per_learner/3/p_correct,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9998102784156799,per_learner/3/p_correct,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9984172582626343,per_learner/3/p_correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9991690516471863,per_learner/3/reward,runs\ab_balanced_items200_h1000\PPO_2
32768,0.999131977558136,per_learner/3/reward,runs\ab_balanced_items200_h1000\PPO_2
50000,0.999342143535614,per_learner/3/reward,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9992638826370239,per_learner/3/reward,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9990474581718445,per_learner/3/reward,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9993956685066223,per_learner/3/reward,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/3/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/3/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/3/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/3/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/3/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/3/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
