Wall time,Step,Value
1767448581.6603131,25000,0.0
1767448585.666927,32768,135.0
1767448604.166312,50000,4.0
1767448610.7674441,65536,51.0
1767448625.6421354,75000,15.0
1767448635.433218,98304,6.0
1767448647.1672432,100000,23.0
1767448663.3237405,125000,38.0
1767448665.9267998,131072,204.0
1767448684.7624238,150000,63.0
1767448690.5817916,163840,97.0
1767448706.1379683,175000,89.0
1767448715.184979,196608,26.0
1767448727.5730474,200000,110.0
1767448743.5022407,225000,127.0
1767448745.3845735,229376,6.0
1767448764.9035947,250000,177.0
1767448770.04176,262144,166.0
1767448786.4353065,275000,190.0
1767448794.751759,294912,80.0
1767448807.8025563,300000,239.0
1767448823.780096,325000,1.0
1767448825.117096,327680,29.0
1767448845.4353964,350000,7.0
1767448849.8526993,360448,0.0
1767448866.7826202,375000,19.0
1767448874.7151804,393216,151.0
1767448888.348689,400000,31.0
1767448904.3001688,425000,48.0
1767448904.7757049,425984,69.0
1767448925.6265547,450000,64.0
1767448929.3179054,458752,10.0
1767448947.01862,475000,100.0
1767448953.9351175,491520,228.0
1767448968.382962,500000,114.0
1767448978.5307374,524288,127.0
1767448989.712894,525000,145.0
1767449005.6212003,550000,180.0
1767449008.5970569,557056,59.0
1767449027.138347,575000,189.0
1767449033.3110454,589824,6.0
1767449048.4563973,600000,237.0
1767449057.8768446,622592,185.0
1767449069.8023207,625000,0.0
1767449085.8667765,650000,10.0
1767449088.1435237,655360,113.0
1767449107.1832302,675000,23.0
1767449112.671797,688128,46.0
1767449128.4887602,700000,49.0
1767449137.3617027,720896,0.0
1767449150.111662,725000,69.0
1767449166.0656018,750000,85.0
1767449167.650961,753664,170.0
1767449187.5765605,775000,98.0
1767449192.3857386,786432,95.0
1767449208.9622083,800000,133.0
1767449216.9703767,819200,33.0
1767449230.2756767,825000,149.0
1767449246.090624,850000,179.0
1767449247.0192075,851968,224.0
1767449267.3881106,875000,201.0
1767449271.461254,884736,141.0
1767449288.6372416,900000,241.0
1767449296.0005662,917504,82.0
1767449309.9201512,925000,1.0
1767449325.829958,950000,12.0
1767449326.0246239,950272,13.0
1767449347.25471,975000,25.0
1767449350.9728913,983040,201.0
1767449369.807765,1000000,52.0
1767449376.68781,1015808,135.0
