Wall time,Step,Value
1767453174.839634,25000,0.0
1767453179.844416,32768,18.0
1767453217.2837567,50000,0.0
1767453227.1052203,65536,5.0
1767453259.3929658,75000,3.0
1767453273.9797962,98304,1.0
1767453301.5187464,100000,2.0
1767453322.771316,125000,8.0
1767453326.6502361,131072,23.0
1767453364.8843496,150000,5.0
1767453373.5797756,163840,13.0
1767453408.0866187,175000,7.0
1767453422.6368742,196608,7.0
1767453451.5831897,200000,18.0
1767453474.2561777,225000,15.0
1767453477.2938542,229376,0.0
1767453517.7240765,250000,23.0
1767453525.9509277,262144,33.0
1767453561.2286828,275000,35.0
1767453574.651715,294912,19.0
1767453604.6592722,300000,37.0
1767453627.3139763,325000,1.0
1767453629.227022,327680,10.0
1767453671.2579389,350000,3.0
1767453678.517169,360448,0.0
1767453714.7909474,375000,7.0
1767453727.1093347,393216,29.0
1767453758.3114924,400000,12.0
1767453780.8338742,425000,14.0
1767453781.5932882,425984,15.0
1767453824.3318772,450000,18.0
1767453830.2934687,458752,5.0
1767453867.7208533,475000,25.0
1767453878.9910405,491520,53.0
1767453911.1305566,500000,34.0
1767453927.492586,524288,32.0
1767453954.7045033,525000,37.0
1767453977.2380302,550000,46.0
1767453982.047298,557056,22.0
1767454020.7549982,575000,55.0
1767454030.7719147,589824,4.0
1767454064.216565,600000,69.0
1767454079.3998976,622592,48.0
1767454107.460359,625000,2.0
1767454130.0700681,650000,7.0
1767454133.7618454,655360,50.0
1767454173.6569936,675000,21.0
1767454182.6102958,688128,27.0
1767454217.067222,700000,26.0
1767454231.215331,720896,3.0
1767454260.505962,725000,38.0
1767454283.0089674,750000,44.0
1767454285.5838203,753664,62.0
1767454326.5445318,775000,45.0
1767454334.3267994,786432,43.0
1767454370.2886367,800000,68.0
1767454383.3142807,819200,13.0
1767454413.698101,825000,54.0
1767454436.298593,850000,64.0
1767454437.7607813,851968,79.0
1767454479.732933,875000,78.0
1767454486.3481376,884736,60.0
1767454523.0270386,900000,87.0
1767454534.9807467,917504,44.0
1767454566.657995,925000,3.0
1767454589.2204208,950000,11.0
1767454589.4835854,950272,16.0
1767454632.7090044,975000,25.0
1767454638.227755,983040,92.0
1767454676.106225,1000000,40.0
1767454686.9863167,1015808,54.0
