Wall time,Step,Value
1767533226.9186413,25000,0.0
1767533231.7161121,32768,57.0
1767533258.512896,50000,1.0
1767533266.1094184,65536,20.0
1767533287.3349884,75000,6.0
1767533298.7553425,98304,3.0
1767533316.10756,100000,6.0
1767533334.0938752,125000,12.0
1767533337.2605147,131072,91.0
1767533364.0288055,150000,22.0
1767533370.7361054,163840,47.0
1767533393.5997198,175000,33.0
1767533404.1348062,196608,13.0
1767533423.557887,200000,58.0
1767533441.3492038,225000,61.0
1767533443.5613081,229376,0.0
1767533470.5679226,250000,76.0
1767533476.5018594,262144,80.0
1767533499.5745106,275000,95.0
1767533509.227136,294912,35.0
1767533528.7127645,300000,133.0
1767533546.5189805,325000,0.0
1767533547.9309726,327680,13.0
1767533575.2529628,350000,1.0
1767533580.364764,360448,0.0
1767533604.0347486,375000,8.0
1767533612.8952312,393216,90.0
1767533633.1625588,400000,8.0
1767533651.0836756,425000,34.0
1767533651.6545227,425984,43.0
1767533679.6948075,450000,37.0
1767533684.0043437,458752,2.0
1767533708.632009,475000,52.0
1767533716.615811,491520,123.0
1767533737.310844,500000,64.0
1767533749.2024367,524288,70.0
1767533766.8929684,525000,80.0
1767533784.8498836,550000,98.0
1767533788.3011553,557056,32.0
1767533814.1647336,575000,124.0
1767533821.3793619,589824,3.0
1767533843.685078,600000,160.0
1767533854.6924062,622592,100.0
1767533872.43807,625000,3.0
1767533890.6368527,650000,6.0
1767533893.301022,655360,77.0
1767533919.5298386,675000,22.0
1767533925.9461167,688128,30.0
1767533948.2088895,700000,32.0
1767533958.4864063,720896,0.0
1767533977.0386252,725000,50.0
1767533994.893632,750000,45.0
1767533996.7621152,753664,97.0
1767534023.7074325,775000,67.0
1767534029.2981448,786432,72.0
1767534052.3652554,800000,92.0
1767534061.7789886,819200,19.0
1767534081.2283502,825000,105.0
1767534099.1749475,850000,114.0
1767534100.2221353,851968,150.0
1767534128.0099032,875000,140.0
1767534132.9440444,884736,97.0
1767534157.153878,900000,162.0
1767534165.7436707,917504,56.0
1767534185.7840657,925000,1.0
1767534203.6903121,950000,6.0
1767534203.8987541,950272,11.0
1767534233.220864,975000,22.0
1767534237.0862255,983040,147.0
1767534261.2481778,1000000,33.0
1767534268.7287557,1015808,92.0
